"Folder","File","Status","Reason","FullPath"
"On Hierarchical Algorithms","Learn Order - HA.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Learn Order - HA.md"
"Algorithms","Algorithm - ACA with Partial Pivoting.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - ACA with Partial Pivoting.md"
"Algorithms","Algorithm - Adaptive Cross Approximation (ACA).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Adaptive Cross Approximation (ACA).md"
"Algorithms","Algorithm - Algebraic Recompression.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Algebraic Recompression.md"
"Algorithms","Algorithm - Exact Rank-k Addition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Exact Rank-k Addition.md"
"Algorithms","Algorithm - Exact Rank-k Multiplication.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Exact Rank-k Multiplication.md"
"Algorithms","Algorithm - Fast H2-MVM.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Fast H2-MVM.md"
"Algorithms","Algorithm - Formatted Addition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Formatted Addition.md"
"Algorithms","Algorithm - Formatted Agglomeration.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Formatted Agglomeration.md"
"Algorithms","Algorithm - H-Cholesky Decomposition.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - H-Cholesky Decomposition.md"
"Algorithms","Algorithm - Hp-LU Decomposition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-LU Decomposition.md"
"Algorithms","Algorithm - Hp-Matrix Addition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Addition.md"
"Algorithms","Algorithm - Hp-Matrix Inversion (Recursive).md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Inversion (Recursive).md"
"Algorithms","Algorithm - Hp-Matrix Matrix Multiplication (MMM).md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Matrix Multiplication (MMM).md"
"Algorithms","Algorithm - Hp-Matrix Vector Multiplication (MVM).md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Vector Multiplication (MVM).md"
"Approximation","Chebyshev Interpolation.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Chebyshev Interpolation.md"
"Approximation","Lagrange Interpolation.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Lagrange Interpolation.md"
"Approximation","Runge's Phenomenon.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Runge's Phenomenon.md"
"Approximation","Taylor Series Approximation.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Taylor Series Approximation.md"
"Calculations","Bounding Box Diameter Calculation.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Bounding Box Diameter Calculation.md"
"Calculations","Exponential Convergence Rate.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Exponential Convergence Rate.md"
"Calculations","Lebesgue Constant (C_L).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lebesgue Constant (C_L).md"
"Calculations","Lemma - Chebyshev Max Norm.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Chebyshev Max Norm.md"
"Calculations","Lemma - Cost of Matrix Addition (Lemma 6.2).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Cost of Matrix Addition (Lemma 6.2).md"
"Calculations","Lemma - Cost of MVM (Lemma 6.1).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Cost of MVM (Lemma 6.1).md"
"Calculations","Lemma - Error Bound of Taylor Expansion.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Error Bound of Taylor Expansion.md"
"Calculations","Lemma - Exponential Convergence of Separable Functions.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Exponential Convergence of Separable Functions.md"
"Calculations","Lemma - Frobenius Norm Consistency.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Frobenius Norm Consistency.md"
"Calculations","Lemma - Interpolation Error Bound.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Interpolation Error Bound.md"
"Calculations","Lemma - Inverse of Tridiagonal Matrix.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Inverse of Tridiagonal Matrix.md"
"Calculations","Lemma - Lebesgue Stability.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Lebesgue Stability.md"
"Calculations","Lemma - QR Decomposition Cost.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - QR Decomposition Cost.md"
"Calculations","Lemma - Rank k Storage Cost.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Rank k Storage Cost.md"
"Calculations","Lemma - Schur Complement.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Schur Complement.md"
"Calculations","Lemma - Storage of H2 Model (Lemma 9.4).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Storage of H2 Model (Lemma 9.4).md"
"Calculations","Lemma - Tensor Product Dimension.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Tensor Product Dimension.md"
"Calculations","Lemma - Truncation Error Bound.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Truncation Error Bound.md"
"Calculations","Lemma - Update Cost.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Update Cost.md"
"Calculations","Sparsity Constant (C_sp).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Sparsity Constant (C_sp).md"
"Calculations","Stability Constant (C_stab).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Stability Constant (C_stab).md"
"Construction","Cardinality Balanced Clustering.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Construction\Cardinality Balanced Clustering.md"
"Construction","Geometric Balanced Clustering.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Construction\Geometric Balanced Clustering.md"
"Construction","Resolution of Cluster Tree.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Construction\Resolution of Cluster Tree.md"
"Construction","Stopping Criteria for Clustering.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Construction\Stopping Criteria for Clustering.md"
"Derivations","Derivation - H-LU Complexity.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Derivation - H-LU Complexity.md"
"Derivations","Derivation - MMM Complexity.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Derivation - MMM Complexity.md"
"Derivations","Derivation - MVM Complexity.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Derivation - MVM Complexity.md"
"Derivations","Theorem - Best Low-Rank Approximation Error.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - Best Low-Rank Approximation Error.md"
"Derivations","Theorem - Cost of Algebraic Recompression.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - Cost of Algebraic Recompression.md"
"Derivations","Theorem - H2 Storage Cost.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - H2 Storage Cost.md"
"Derivations","Theorem - Number of Blocks in Hp.md","Empty/Template","Contains marker: '## Mathematical Formulation'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - Number of Blocks in Hp.md"
"Derivations","Theorem - Properties of Rank.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - Properties of Rank.md"
"Derivations","Theorem - Storage Cost of H-Matrix.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - Storage Cost of H-Matrix.md"
"Derivations","Theorem - Tensor Interpolation Error.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - Tensor Interpolation Error.md"
"Derivations","Theorem - Truncation Non-Associativity.md","Empty/Template","Contains marker: '## Mathematical Formulation'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Derivations\Theorem - Truncation Non-Associativity.md"
"Foundations","Admissibility Condition.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Admissibility Condition.md"
"Foundations","Asymptotically Smooth Kernels.md","Empty/Template","Contains marker: '## Mathematical Formulation'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Asymptotically Smooth Kernels.md"
"Foundations","Discretization Error vs Approximation Error.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Discretization Error vs Approximation Error.md"
"Foundations","Kernel Function.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Kernel Function.md"
"Foundations","LU Decomposition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\LU Decomposition.md"
"Foundations","Model Problem - The Logarithmic Kernel.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Model Problem - The Logarithmic Kernel.md"
"Foundations","QR Decomposition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\QR Decomposition.md"
"Foundations","Rank of a Matrix.md","Empty/Template","Contains marker: '## Mathematical Formulation'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Rank of a Matrix.md"
"Foundations","Rank-k Matrix Representation.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Rank-k Matrix Representation.md"
"Foundations","Reduced QR Decomposition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Reduced QR Decomposition.md"
"Foundations","Reduced Singular Value Decomposition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Reduced Singular Value Decomposition.md"
"Foundations","Separable Functions.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Separable Functions.md"
"Foundations","Separation Rank.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Separation Rank.md"
"Foundations","Singular Value Decomposition (SVD).md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Singular Value Decomposition (SVD).md"
"Foundations","Taylor Polynomial.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\Taylor Polynomial.md"
"Foundations","The Curse of Dimensionality.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Foundations\The Curse of Dimensionality.md"
"Implementation","Agglomeration Logic.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Implementation\Agglomeration Logic.md"
"Implementation","Formatted Forward Substitution.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Implementation\Formatted Forward Substitution.md"
"Implementation","Recursion Patterns in C.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Implementation\Recursion Patterns in C.md"
"Implementation","Stopping Criteria for ACA.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Implementation\Stopping Criteria for ACA.md"
"Implementation","Summation Strategies.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Implementation\Summation Strategies.md"
"Implementation","Supermatrix Struct Definition.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Implementation\Supermatrix Struct Definition.md"
"Structures","Block Cluster Tree Definition.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Block Cluster Tree Definition.md"
"Structures","Block Partition Definition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Block Partition Definition.md"
"Structures","Cluster Basis (V).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Cluster Basis (V).md"
"Structures","Cluster Tree Definition.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Cluster Tree Definition.md"
"Structures","H2-Matrix Concept.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\H2-Matrix Concept.md"
"Structures","Hierarchical Matrix (Hp) Format.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Hierarchical Matrix (Hp) Format.md"
"Structures","Nested Basis Property.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Nested Basis Property.md"
"Structures","Sparsity Constant (C_sp).md","Empty/Template","File is empty","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Sparsity Constant (C_sp).md"
"Structures","Tensor Block Partition.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Tensor Block Partition.md"
"Structures","Transfer Matrix (E).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Transfer Matrix (E).md"
"Structures","Uniform Matrix Format.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Structures\Uniform Matrix Format.md"
